process_step,Control,Test,drop_off_control,drop_off_test,drop_users_control,drop_users_test,conv_control,conv_test,overall_conv_control,overall_conv_test,conv_diff,drop_diff
start,30910,33157,,,,,,,100.0,100.0,0.0,
step_1,23548,28285,23.817534778388872,14.693729830804958,7362.0,4872.0,76.18,85.31,76.18,85.31,9.129999999999995,9.123804947583913
step_2,20138,24503,14.481059962629528,13.371044723351599,3410.0,3782.0,85.52,86.63,65.15,73.9,8.75,1.1100152392779297
step_3,18300,22186,9.127023537590627,9.455984981430843,1838.0,2317.0,90.87,90.54,59.2,66.91,7.709999999999994,-0.32896144384021575
confirm,16046,21731,12.316939890710387,2.0508428738844287,2254.0,455.0,87.68,97.95,51.91,65.54,13.63000000000001,10.266097016825958
